"Year","World Cup","Golden Ball","Continent"
"1962", "Brazil","Garrincha","Europe"
"1966", "England","Charlton","Europe"
"1970", "Brazil","Pele","South America"
"1978", "Argentina","Mario Kempes","South America"
"1982", "Spain","Paolo Rossi","Europe"
"1986", "Mexico","Diego Maradona","South America"
"1990", "Italy","Salvatore Schillaci","Europe"
"1994", "United States","Romário","South America" 
"1998", "France","Ronaldo","South America"
"2002","South Korea/Japan","Oliver Kahn","Europe"
"2006", "Germany","Zinedine Zidane","Europe"
"2010", "South Africa","Diego Forlán","South America"
"2014", "Brazil","Lionel Messi","South America"
"2018", "Russia","Luka Modrić","Europe"
"2022", "Qatar","Lionel Messi","South America"